                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2059,                 3.5212,                 1.4448,                0.27504,                0.33253,                0.22601,                0.13172,                 1.5027,                 3.0931,                 1.8019,              0.0033305,              0.0033305,              0.0033305
                      2,                  1.191,                 2.3576,                 1.4213,                0.42104,                0.37556,                0.34701,                0.19193,                  1.541,                 2.7617,                 1.7748,              0.0065696,              0.0065696,              0.0065696
                      3,                 1.1859,                 2.1632,                 1.3926,                 0.4434,                  0.374,                0.35158,                0.18658,                 1.5843,                 2.7402,                 1.7879,              0.0097144,              0.0097144,              0.0097144
                      4,                 1.1893,                 2.0735,                 1.3881,                0.50952,                0.46918,                0.45231,                0.25547,                 1.5078,                 2.4241,                 1.7246,              0.0095757,              0.0095757,              0.0095757
                      5,                 1.1601,                 1.8961,                 1.3667,                0.59542,                0.53355,                0.57227,                0.33813,                 1.4387,                 1.8382,                 1.6646,              0.0094343,              0.0094343,              0.0094343
                      6,                  1.141,                 1.7838,                 1.3547,                0.65213,                0.57033,                0.64414,                0.36755,                 1.4537,                 1.6216,                 1.6743,              0.0092929,              0.0092929,              0.0092929
                      7,                 1.1257,                 1.6768,                 1.3446,                0.64998,                0.61224,                0.66335,                0.39896,                 1.4035,                 1.5187,                 1.5987,              0.0091514,              0.0091514,              0.0091514
                      8,                 1.1091,                 1.5983,                 1.3321,                0.67125,                0.60556,                0.66588,                0.39911,                 1.4168,                 1.5405,                 1.5894,                0.00901,                0.00901,                0.00901
                      9,                 1.0859,                 1.4815,                 1.3163,                 0.7617,                0.66389,                0.75652,                0.45319,                 1.3827,                 1.2559,                 1.5885,              0.0088686,              0.0088686,              0.0088686
                     10,                 1.0893,                 1.4928,                 1.3181,                0.75998,                0.69498,                0.77657,                0.46882,                 1.3834,                 1.1451,                 1.5815,              0.0087271,              0.0087271,              0.0087271
                     11,                 1.0689,                 1.3968,                 1.3021,                0.78338,                 0.6957,                0.79008,                0.48222,                 1.3717,                 1.1014,                 1.5407,              0.0085857,              0.0085857,              0.0085857
