                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0214,                 1.2743,                 1.2933,                0.79487,                 0.7486,                0.83455,                0.50826,                 1.3624,                0.96052,                 1.5952,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.0098,                 1.2315,                 1.2841,                0.80841,                0.76459,                0.83942,                0.49908,                 1.3784,                0.93613,                  1.606,              0.0065539,              0.0065539,              0.0065539
                      3,                 1.0394,                 1.2866,                 1.2983,                 0.7516,                 0.6662,                0.74909,                0.44656,                 1.3891,                 1.1892,                 1.6162,              0.0096673,              0.0096673,              0.0096673
                      4,                 1.0609,                 1.3507,                 1.3115,                0.74256,                0.71205,                0.78043,                0.47599,                 1.3549,                 1.0836,                  1.571,               0.009505,               0.009505,               0.009505
                      5,                 1.0548,                  1.327,                 1.3069,                0.78044,                0.74476,                0.80982,                0.48436,                 1.4125,                 1.0256,                 1.6256,                0.00934,                0.00934,                0.00934
                      6,                 1.0484,                 1.2959,                 1.3018,                0.78601,                0.68793,                0.78075,                0.46033,                 1.4166,                 1.0732,                  1.637,               0.009175,               0.009175,               0.009175
                      7,                 1.0424,                 1.2684,                 1.2966,                0.79184,                0.75895,                0.82398,                0.49701,                 1.3855,                0.99639,                 1.6056,                0.00901,                0.00901,                0.00901
                      8,                 1.0335,                 1.2406,                 1.2932,                0.83521,                0.75306,                0.84545,                0.50986,                 1.3823,                0.92895,                 1.6042,               0.008845,               0.008845,               0.008845
                      9,                 1.0288,                 1.2191,                 1.2859,                0.82201,                0.77667,                0.85594,                0.51713,                 1.3848,                0.90266,                 1.5639,                0.00868,                0.00868,                0.00868
                     10,                 1.0236,                 1.1989,                 1.2844,                0.85335,                0.76734,                0.85802,                0.53382,                 1.3416,                0.87084,                 1.5586,               0.008515,               0.008515,               0.008515
                     11,                 1.0166,                 1.1799,                 1.2796,                0.83076,                0.79201,                0.87213,                0.54394,                 1.3109,                0.84815,                 1.5217,                0.00835,                0.00835,                0.00835
                     12,                 1.0133,                  1.165,                 1.2744,                 0.8616,                0.77568,                0.87073,                 0.5388,                  1.327,                0.84753,                 1.5404,               0.008185,               0.008185,               0.008185
                     13,                 1.0082,                  1.144,                 1.2716,                 0.8635,                 0.8065,                0.88832,                0.55518,                 1.3182,                0.80622,                 1.5168,                0.00802,                0.00802,                0.00802
                     14,                 1.0038,                 1.1252,                 1.2651,                0.87691,                0.78629,                0.88463,                0.55812,                 1.3121,                 0.7899,                 1.5193,               0.007855,               0.007855,               0.007855
                     15,                0.99718,                 1.1133,                 1.2616,                0.85006,                0.83565,                0.89926,                0.56846,                 1.2892,                0.77103,                 1.4974,                0.00769,                0.00769,                0.00769
                     16,                0.99386,                 1.1036,                 1.2582,                0.88385,                0.82918,                0.90635,                0.56642,                 1.3012,                 0.7468,                 1.4971,               0.007525,               0.007525,               0.007525
                     17,                0.99139,                 1.0828,                  1.253,                0.86437,                 0.8408,                0.90745,                0.58171,                 1.2593,                0.74093,                 1.4562,                0.00736,                0.00736,                0.00736
                     18,                0.98628,                 1.0695,                 1.2507,                0.85989,                0.83068,                0.90332,                 0.5822,                 1.2693,                0.74432,                 1.4715,               0.007195,               0.007195,               0.007195
                     19,                0.98115,                 1.0619,                 1.2483,                0.89352,                0.82525,                 0.9114,                0.59334,                 1.2449,                0.70617,                 1.4491,                0.00703,                0.00703,                0.00703
                     20,                0.97551,                 1.0446,                 1.2452,                0.89247,                 0.8477,                0.92185,                0.59817,                 1.2504,                0.69067,                 1.4523,               0.006865,               0.006865,               0.006865
                     21,                0.96871,                 1.0344,                 1.2393,                0.88348,                0.84807,                0.92295,                0.60253,                 1.2278,                0.68502,                  1.442,                 0.0067,                 0.0067,                 0.0067
                     22,                0.97074,                 1.0246,                 1.2374,                0.88804,                 0.8618,                0.92381,                 0.6034,                 1.2455,                0.68014,                 1.4371,               0.006535,               0.006535,               0.006535
                     23,                0.96478,                 1.0142,                 1.2353,                0.87746,                0.86476,                0.92406,                0.60746,                  1.224,                0.66878,                 1.4309,                0.00637,                0.00637,                0.00637
                     24,                0.96317,                 1.0069,                 1.2338,                0.90813,                0.85555,                0.92806,                0.60746,                 1.2339,                0.66182,                 1.4299,               0.006205,               0.006205,               0.006205
                     25,                0.95922,                 0.9954,                 1.2312,                0.89707,                0.86532,                0.92734,                0.61826,                 1.1996,                0.64607,                 1.4103,                0.00604,                0.00604,                0.00604
                     26,                0.95703,                 0.9864,                  1.227,                0.91382,                 0.8562,                0.93085,                0.61668,                 1.2129,                0.64369,                 1.4157,               0.005875,               0.005875,               0.005875
                     27,                0.95192,                0.98553,                 1.2266,                0.90477,                0.87298,                0.93408,                0.62357,                 1.2053,                0.63525,                 1.4021,                0.00571,                0.00571,                0.00571
                     28,                 0.9463,                0.96986,                 1.2194,                0.90594,                0.87505,                0.93662,                0.62255,                 1.2156,                0.62838,                 1.4113,               0.005545,               0.005545,               0.005545
                     29,                0.94149,                0.96015,                 1.2193,                 0.9181,                0.85907,                0.93821,                0.62994,                 1.1889,                0.62446,                 1.3905,                0.00538,                0.00538,                0.00538
                     30,                0.93586,                0.95222,                 1.2155,                0.91119,                0.87113,                0.93931,                0.62794,                 1.1872,                0.61548,                 1.3913,               0.005215,               0.005215,               0.005215
                     31,                 0.9349,                0.94125,                 1.2137,                0.89726,                0.88773,                0.94002,                0.63297,                 1.1833,                0.61328,                 1.3871,                0.00505,                0.00505,                0.00505
                     32,                0.93419,                0.93537,                 1.2128,                0.91632,                0.87828,                0.94114,                0.63426,                  1.184,                0.60851,                 1.3891,               0.004885,               0.004885,               0.004885
                     33,                0.92924,                0.92635,                 1.2091,                0.90852,                0.88072,                0.94299,                0.63485,                  1.186,                0.60427,                 1.3947,                0.00472,                0.00472,                0.00472
                     34,                 0.9227,                0.91926,                 1.2061,                0.91962,                  0.882,                0.94473,                0.63295,                 1.1896,                0.60027,                 1.3918,               0.004555,               0.004555,               0.004555
                     35,                0.92114,                0.90868,                 1.2034,                0.90872,                0.88861,                0.94476,                0.63786,                 1.1789,                0.59769,                 1.3802,                0.00439,                0.00439,                0.00439
                     36,                 0.9195,                0.90658,                 1.2027,                0.90059,                 0.8949,                0.94399,                0.64116,                  1.165,                0.58862,                  1.371,               0.004225,               0.004225,               0.004225
                     37,                0.91397,                0.89401,                 1.1984,                0.90727,                0.88928,                0.94637,                0.64351,                 1.1662,                0.58719,                   1.37,                0.00406,                0.00406,                0.00406
                     38,                0.90867,                0.88777,                 1.1948,                0.92066,                0.87788,                0.94645,                0.64589,                 1.1649,                 0.5839,                 1.3696,               0.003895,               0.003895,               0.003895
                     39,                 0.9082,                0.88199,                 1.1934,                0.92415,                0.88032,                 0.9473,                0.64835,                 1.1592,                0.57788,                 1.3622,                0.00373,                0.00373,                0.00373
                     40,                0.90514,                 0.8748,                 1.1907,                0.92196,                0.88965,                0.94769,                0.64915,                 1.1537,                0.57173,                 1.3565,               0.003565,               0.003565,               0.003565
                     41,                0.90107,                0.86718,                 1.1887,                0.91709,                0.89389,                0.94811,                0.64965,                 1.1566,                0.57065,                 1.3588,                 0.0034,                 0.0034,                 0.0034
                     42,                0.89787,                0.85726,                 1.1863,                0.91802,                0.89294,                0.94765,                0.65025,                 1.1538,                0.56862,                 1.3548,               0.003235,               0.003235,               0.003235
                     43,                0.89197,                0.85256,                 1.1823,                0.91562,                0.89719,                 0.9485,                0.65425,                 1.1456,                0.56545,                 1.3498,                0.00307,                0.00307,                0.00307
                     44,                0.88936,                0.84403,                 1.1808,                 0.9182,                0.89562,                0.95072,                0.65645,                 1.1418,                0.56286,                 1.3473,               0.002905,               0.002905,               0.002905
                     45,                0.88681,                0.83946,                 1.1787,                0.92249,                0.89235,                0.95131,                0.65801,                 1.1369,                0.55903,                 1.3432,                0.00274,                0.00274,                0.00274
                     46,                0.88158,                0.83024,                 1.1754,                0.91878,                 0.8983,                0.95291,                0.65905,                 1.1348,                0.55571,                 1.3407,               0.002575,               0.002575,               0.002575
                     47,                0.87826,                0.82562,                 1.1733,                0.92444,                0.89335,                0.95398,                0.65976,                 1.1326,                0.55275,                 1.3382,                0.00241,                0.00241,                0.00241
                     48,                 0.8722,                0.81475,                 1.1689,                0.92711,                0.89548,                0.95465,                0.66016,                 1.1287,                0.55096,                 1.3354,               0.002245,               0.002245,               0.002245
                     49,                0.87046,                0.81126,                 1.1671,                0.92381,                0.89912,                0.95503,                0.66179,                 1.1265,                0.54763,                 1.3332,                0.00208,                0.00208,                0.00208
                     50,                0.86653,                0.80371,                 1.1657,                0.92125,                0.90238,                0.95632,                0.66329,                 1.1248,                0.54573,                 1.3314,               0.001915,               0.001915,               0.001915
                     51,                0.88066,                0.68116,                 1.1758,                0.91835,                0.90224,                0.95594,                0.66341,                 1.1241,                0.54407,                 1.3288,                0.00175,                0.00175,                0.00175
                     52,                0.86967,                0.66241,                 1.1692,                0.92647,                0.89419,                0.95526,                0.66533,                 1.1208,                0.54155,                 1.3253,               0.001585,               0.001585,               0.001585
                     53,                0.86216,                0.65464,                 1.1673,                0.93307,                0.89556,                0.95706,                0.66616,                 1.1188,                0.53901,                 1.3236,                0.00142,                0.00142,                0.00142
                     54,                0.85351,                0.64185,                 1.1619,                0.93382,                0.89776,                0.95721,                0.66793,                 1.1164,                0.53649,                 1.3219,               0.001255,               0.001255,               0.001255
                     55,                0.84861,                0.63568,                 1.1571,                0.93375,                0.89832,                0.95771,                0.66854,                 1.1136,                 0.5349,                 1.3195,                0.00109,                0.00109,                0.00109
                     56,                 0.8465,                0.62961,                 1.1569,                 0.9352,                0.89949,                0.95777,                0.67001,                 1.1116,                0.53313,                 1.3178,               0.000925,               0.000925,               0.000925
                     57,                0.85387,                0.63542,                 1.1591,                0.93585,                 0.8988,                0.95772,                0.67075,                 1.1112,                0.53298,                 1.3169,                0.00076,                0.00076,                0.00076
                     58,                0.84635,                0.62542,                 1.1548,                0.93539,                0.90053,                0.95783,                0.67058,                 1.1098,                0.53197,                 1.3153,               0.000595,               0.000595,               0.000595
                     59,                0.84148,                0.62262,                 1.1522,                0.93491,                0.90066,                0.95837,                0.67043,                  1.108,                0.53164,                 1.3137,                0.00043,                0.00043,                0.00043
                     60,                 0.8372,                0.61732,                 1.1501,                0.93548,                0.89939,                0.95877,                0.67155,                 1.1068,                0.53081,                 1.3129,               0.000265,               0.000265,               0.000265
