                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0673,                 3.5063,                 1.5128,                0.62034,                0.87623,                0.88804,                0.61381,                 1.3936,                  1.269,                 1.2516,                      0,                      0,                      0
                      2,                 1.1326,                 2.7837,                 1.4406,                0.59817,                0.89589,                0.88796,                0.62334,                 1.4246,                 1.2842,                  1.261,             1.1732e-06,             1.1732e-06,             1.1732e-06
                      3,                 1.0199,                 2.1227,                 1.2649,                0.59328,                0.88081,                0.88627,                0.62488,                 1.4256,                 1.3128,                 1.2622,             2.3127e-06,             2.3127e-06,             2.3127e-06
                      4,                 1.0495,                 2.9591,                 1.3974,                0.53905,                0.83333,                0.87432,                0.61096,                 1.4454,                 1.3472,                 1.2688,             3.4185e-06,             3.4185e-06,             3.4185e-06
                      5,                 1.3081,                 2.3595,                 1.6343,                0.58211,                0.83333,                0.87229,                0.59083,                 1.4749,                 1.3955,                 1.2859,             4.4907e-06,             4.4907e-06,             4.4907e-06
                      6,                0.78194,                 2.3716,                   1.16,                0.82585,                0.56667,                0.87221,                0.56927,                 1.4833,                 1.4667,                 1.2977,             5.5292e-06,             5.5292e-06,             5.5292e-06
                      7,                 1.3324,                 3.6414,                 1.6411,                0.81566,                0.56667,                0.88305,                0.57166,                 1.5024,                 1.5324,                 1.3126,             6.5341e-06,             6.5341e-06,             6.5341e-06
                      8,                 1.2615,                 3.8428,                 1.6542,                0.81123,                0.57501,                0.81119,                0.58137,                 1.5045,                 1.6281,                  1.321,             7.5053e-06,             7.5053e-06,             7.5053e-06
                      9,                0.81608,                 2.6838,                 1.2599,                 0.8077,                0.58066,                0.77241,                0.55371,                 1.5229,                 1.6705,                 1.3354,             8.4429e-06,             8.4429e-06,             8.4429e-06
                     10,                0.93996,                 2.2644,                 1.2951,                0.80128,                0.58333,                0.74272,                0.55834,                 1.5268,                 1.6974,                 1.3414,             9.3468e-06,             9.3468e-06,             9.3468e-06
                     11,                 1.2872,                 2.6161,                 1.5906,                0.78789,                0.58333,                0.74188,                0.55729,                 1.5184,                 1.6696,                 1.3383,             1.0217e-05,             1.0217e-05,             1.0217e-05
                     12,                0.98481,                 2.3872,                 1.3195,                0.75857,                0.58333,                0.74177,                0.55687,                 1.5048,                 1.6955,                 1.3306,             1.1054e-05,             1.1054e-05,             1.1054e-05
                     13,                 1.3785,                 3.0737,                 1.7149,                0.70353,                0.58333,                0.74165,                0.52398,                 1.5257,                 1.7527,                 1.3354,             1.1856e-05,             1.1856e-05,             1.1856e-05
                     14,                 1.0487,                 2.4464,                 1.4986,                0.67704,                0.58333,                0.74168,                0.55692,                  1.531,                  1.807,                  1.343,             1.2626e-05,             1.2626e-05,             1.2626e-05
                     15,                 1.3121,                 2.8421,                 1.6025,                0.94115,                0.37553,                0.74279,                0.55704,                 1.5425,                 1.8363,                 1.3519,             1.3361e-05,             1.3361e-05,             1.3361e-05
                     16,                 1.2228,                 1.8849,                 1.4887,                0.94172,                 0.3786,                0.74269,                0.50736,                 1.5197,                 1.8389,                 1.3387,             1.4063e-05,             1.4063e-05,             1.4063e-05
                     17,                0.98784,                 1.6722,                 1.3181,                0.94195,                 0.3813,                0.74254,                0.54088,                 1.5194,                 1.8563,                 1.3453,             1.4732e-05,             1.4732e-05,             1.4732e-05
                     18,                0.67185,                 1.4017,                 1.0122,                0.94195,                 0.3813,                0.74254,                0.54088,                 1.5194,                 1.8563,                 1.3453,             1.5366e-05,             1.5366e-05,             1.5366e-05
                     19,                0.77243,                 1.7061,                 1.0696,                0.94117,                0.38116,                0.63153,                0.47425,                 1.5395,                  1.926,                 1.3589,             1.5967e-05,             1.5967e-05,             1.5967e-05
                     20,                 1.1261,                 1.8477,                  1.366,                0.94117,                0.38116,                0.63153,                0.47425,                 1.5395,                  1.926,                 1.3589,             1.6534e-05,             1.6534e-05,             1.6534e-05
                     21,                0.82365,                 1.8636,                 1.2415,                0.94044,                0.38333,                0.63111,                0.45401,                 1.5774,                 2.0138,                 1.3801,             1.7068e-05,             1.7068e-05,             1.7068e-05
                     22,                 1.0048,                 1.7925,                 1.2258,                0.94044,                0.38333,                0.63111,                0.45401,                 1.5774,                 2.0138,                 1.3801,             1.7568e-05,             1.7568e-05,             1.7568e-05
                     23,                0.97636,                 1.7912,                 1.4184,                0.93868,                0.38333,                0.60916,                0.44198,                 1.5938,                 2.0893,                 1.3998,             1.8034e-05,             1.8034e-05,             1.8034e-05
                     24,                0.93298,                 1.5236,                 1.2913,                0.93868,                0.38333,                0.60916,                0.44198,                 1.5938,                 2.0893,                 1.3998,             1.8467e-05,             1.8467e-05,             1.8467e-05
                     25,                0.87301,                 2.0161,                  1.249,                0.94082,                0.38182,                0.60359,                0.43355,                  1.648,                 2.1776,                 1.4304,             1.8866e-05,             1.8866e-05,             1.8866e-05
                     26,                0.80974,                 1.3266,                 1.1606,                0.94082,                0.38182,                0.60359,                0.43355,                  1.648,                 2.1776,                 1.4304,             1.9231e-05,             1.9231e-05,             1.9231e-05
                     27,                 1.0212,                 1.5677,                 1.3745,                0.94154,                0.37647,                0.59015,                0.43451,                 1.7101,                 2.2834,                 1.4825,             1.9563e-05,             1.9563e-05,             1.9563e-05
                     28,                0.96171,                 1.1558,                 1.2738,                0.94154,                0.37647,                0.59015,                0.43451,                 1.7101,                 2.2834,                 1.4825,             1.9861e-05,             1.9861e-05,             1.9861e-05
