                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9896,                 5.0126,                 2.4497,                0.00011,                0.03125,                  6e-05,                  2e-05,                 3.1866,                 5.3995,                 2.6447,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.8436,                  4.588,                 2.2523,                0.00011,                0.03125,                  7e-05,                  1e-05,                 2.6535,                 4.8842,                 2.2192,             0.00017777,             0.00017777,             0.00017777
                      3,                 2.2407,                 3.8911,                 1.8076,                0.00056,                0.15625,                 0.0004,                0.00013,                 2.1868,                 4.3204,                 1.8481,             0.00027307,             0.00027307,             0.00027307
                      4,                 1.7028,                 2.6925,                 1.4958,                  0.002,                 0.5625,                 0.0046,                0.00182,                 1.7801,                 3.9342,                 1.5223,             0.00036589,             0.00036589,             0.00036589
                      5,                 1.7964,                 2.2145,                 1.4105,                0.00222,                  0.625,                0.00544,                0.00208,                 1.7428,                 3.8604,                 1.4929,             0.00045624,             0.00045624,             0.00045624
                      6,                 1.6735,                 2.3093,                 1.3971,                0.00222,                  0.625,                0.00508,                0.00172,                    1.7,                 3.9809,                 1.4554,             0.00054411,             0.00054411,             0.00054411
                      7,                 1.5665,                 2.0935,                 1.3647,                0.00233,                0.65625,                0.00521,                0.00237,                 1.7456,                 3.7704,                 1.4657,             0.00062951,             0.00062951,             0.00062951
                      8,                 1.7237,                 1.8712,                 1.3861,                0.00256,                0.71875,                0.00568,                0.00192,                 1.7339,                 3.8315,                  1.423,             0.00071243,             0.00071243,             0.00071243
                      9,                 1.6175,                 1.7241,                  1.332,                0.00311,                  0.875,                0.03664,                0.01795,                 1.6878,                 3.5337,                 1.3886,             0.00079288,             0.00079288,             0.00079288
                     10,                 1.5213,                  1.649,                 1.2995,                0.00289,                 0.8125,                0.13266,                0.04943,                 1.7378,                 3.6564,                 1.4259,             0.00087085,             0.00087085,             0.00087085
                     11,                 1.5336,                 1.8558,                 1.3158,                0.00267,                   0.75,                0.05636,                0.01732,                 1.7868,                  3.693,                 1.4591,             0.00094635,             0.00094635,             0.00094635
