                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78608,                 3.7456,                 1.3129,                0.57929,                0.53371,                0.48454,                0.42805,                0.55546,                 3.2003,                 1.1897,             0.00011033,             0.00011033,             0.00011033
                      2,                0.65116,                 2.3107,                 1.1841,                0.84598,                0.78845,                0.89793,                0.82517,                0.48095,                  2.026,                 1.1113,             0.00021768,             0.00021768,             0.00021768
                      3,                0.60576,                 1.5893,                 1.1623,                0.83779,                0.90956,                0.94623,                0.85355,                0.51817,                  1.885,                  1.141,             0.00032136,             0.00032136,             0.00032136
                      4,                0.55812,                 1.2633,                 1.1073,                0.89233,                0.93853,                0.96662,                 0.8844,                 0.4795,                 1.3679,                 1.0972,             0.00031652,             0.00031652,             0.00031652
                      5,                0.56312,                 1.1292,                 1.1173,                0.90255,                0.92523,                0.95112,                0.88459,                0.43166,                  1.219,                 1.0438,             0.00031102,             0.00031102,             0.00031102
                      6,                0.54322,                0.98258,                 1.1015,                0.95678,                0.93065,                0.95664,                0.87733,                0.46167,                 1.0462,                 1.0655,             0.00030553,             0.00030553,             0.00030553
                      7,                0.53004,                0.86307,                 1.0862,                0.94967,                0.94884,                0.97598,                0.89672,                0.43058,                0.95418,                 1.0339,             0.00030003,             0.00030003,             0.00030003
                      8,                0.52333,                0.81412,                 1.0774,                0.96788,                0.94151,                0.98318,                0.91598,                0.40741,                0.87781,                 1.0151,             0.00029454,             0.00029454,             0.00029454
                      9,                0.50652,                0.75598,                 1.0693,                0.97611,                0.93686,                0.96964,                0.88506,                0.45824,                0.82928,                 1.0613,             0.00028904,             0.00028904,             0.00028904
                     10,                0.51352,                0.73959,                 1.0686,                0.97682,                0.94172,                0.97552,                0.87625,                0.49391,                0.85692,                 1.0948,             0.00028355,             0.00028355,             0.00028355
                     11,                0.49366,                0.70767,                 1.0528,                0.97682,                0.94092,                0.98015,                0.89556,                0.44581,                 0.7672,                 1.0531,             0.00027806,             0.00027806,             0.00027806
                     12,                0.49319,                 0.6648,                 1.0522,                0.95847,                0.94484,                0.97837,                0.90164,                0.42089,                 0.7832,                 1.0327,             0.00027256,             0.00027256,             0.00027256
                     13,                0.48065,                0.62956,                 1.0518,                0.97225,                 0.9389,                0.96732,                0.90074,                0.40897,                0.71277,                 1.0144,             0.00026707,             0.00026707,             0.00026707
                     14,                0.48427,                0.61919,                 1.0549,                0.97015,                0.94089,                0.96221,                 0.8916,                0.42417,                0.71778,                 1.0329,             0.00026157,             0.00026157,             0.00026157
                     15,                  0.476,                0.60083,                 1.0491,                0.95864,                0.94444,                0.98063,                0.90215,                0.43054,                0.70898,                 1.0333,             0.00025608,             0.00025608,             0.00025608
                     16,                0.46904,                0.56839,                 1.0414,                0.95705,                0.94676,                0.97754,                0.90783,                0.39949,                0.67311,                 1.0059,             0.00025058,             0.00025058,             0.00025058
                     17,                0.46065,                0.54139,                 1.0334,                0.96413,                0.95113,                0.97269,                0.90586,                0.38832,                0.63445,                0.99119,             0.00024509,             0.00024509,             0.00024509
                     18,                0.45997,                0.52928,                 1.0358,                0.95542,                0.93858,                0.97542,                0.90004,                0.41945,                0.66504,                 1.0214,             0.00023959,             0.00023959,             0.00023959
                     19,                0.45431,                 0.5108,                 1.0289,                0.97395,                0.94155,                0.97966,                0.90289,                0.40859,                0.59325,                0.99535,              0.0002341,              0.0002341,              0.0002341
                     20,                0.45711,                0.51332,                 1.0302,                0.96581,                 0.9575,                0.97337,                 0.9022,                0.39436,                0.56917,                0.99759,              0.0002286,              0.0002286,              0.0002286
