                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1878,                 1.5897,                 1.1446,                0.86074,                0.89311,                0.94008,                0.68961,                0.97507,                0.86871,                 1.0749,             0.00041566,             0.00041566,             0.00041566
                      2,                 1.0745,                0.98986,                 1.1013,                0.93002,                0.89939,                0.94928,                0.67689,                  1.039,                 0.7936,                 1.1412,             0.00082055,             0.00082055,             0.00082055
                      3,                 1.0607,                0.89489,                 1.1117,                0.90607,                0.88353,                0.95432,                0.70675,                0.98639,                0.68471,                 1.1066,              0.0012137,              0.0012137,              0.0012137
                      4,                 1.0288,                0.81897,                 1.1033,                0.87781,                0.86997,                0.94872,                 0.7052,                0.94761,                  0.732,                 1.0927,               0.001197,               0.001197,               0.001197
                      5,                 1.0092,                0.78059,                  1.101,                0.77915,                  0.857,                0.87696,                0.65688,                0.97798,                0.95283,                 1.1026,              0.0011793,              0.0011793,              0.0011793
                      6,                0.99436,                0.74586,                 1.0956,                 0.9353,                0.93188,                0.96944,                0.73209,                0.93329,                 0.5169,                  1.092,              0.0011616,              0.0011616,              0.0011616
                      7,                0.97401,                0.71659,                 1.0874,                0.92794,                0.92416,                0.95932,                0.72299,                0.95117,                0.52153,                 1.0973,              0.0011439,              0.0011439,              0.0011439
                      8,                0.96067,                0.69436,                 1.0801,                0.89924,                 0.9112,                 0.9624,                0.71204,                0.95255,                0.54906,                  1.116,              0.0011263,              0.0011263,              0.0011263
                      9,                0.95724,                0.67546,                 1.0788,                0.94632,                0.93901,                0.97339,                0.74058,                0.93438,                0.50211,                 1.0862,              0.0011086,              0.0011086,              0.0011086
                     10,                0.93847,                0.65651,                  1.069,                0.95834,                0.94299,                0.97674,                0.74076,                0.92532,                 0.4629,                 1.0814,              0.0010909,              0.0010909,              0.0010909
                     11,                0.92801,                0.65377,                 1.0655,                0.95375,                0.95195,                0.97489,                0.74103,                0.93824,                0.44779,                 1.0831,              0.0010732,              0.0010732,              0.0010732
                     12,                0.91814,                0.62631,                 1.0611,                0.91896,                0.92991,                0.96874,                0.72834,                0.93316,                0.48198,                 1.1007,              0.0010555,              0.0010555,              0.0010555
                     13,                 0.9183,                0.62257,                 1.0619,                0.90973,                0.91419,                0.95625,                 0.7297,                0.93783,                0.51679,                 1.0882,              0.0010379,              0.0010379,              0.0010379
                     14,                0.90237,                0.61312,                 1.0537,                0.94773,                0.93507,                0.97198,                0.74292,                0.92325,                0.47265,                 1.0797,              0.0010202,              0.0010202,              0.0010202
                     15,                0.90962,                0.62319,                  1.061,                0.86972,                0.88448,                0.94372,                0.71028,                0.94015,                0.66378,                 1.0753,              0.0010025,              0.0010025,              0.0010025
                     16,                0.90958,                 0.6199,                 1.0607,                0.94894,                0.93407,                0.97581,                0.74817,                0.90524,                0.43859,                 1.0714,             0.00098482,             0.00098482,             0.00098482
                     17,                0.90456,                0.61915,                 1.0577,                0.93337,                0.94189,                0.97373,                0.74868,                 0.8999,                0.44683,                 1.0755,             0.00096714,             0.00096714,             0.00096714
                     18,                0.91144,                0.60625,                 1.0597,                0.96084,                 0.9429,                0.97791,                0.75337,                0.90637,                 0.4131,                 1.0789,             0.00094946,             0.00094946,             0.00094946
                     19,                 0.9024,                 0.6013,                 1.0601,                0.96837,                0.94622,                0.97865,                0.75135,                0.91365,                0.41602,                 1.0764,             0.00093179,             0.00093179,             0.00093179
                     20,                0.89067,                0.58785,                 1.0513,                0.96151,                0.95318,                0.97953,                0.75585,                0.88885,                0.40454,                 1.0589,             0.00091411,             0.00091411,             0.00091411
