                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86842,                 3.3147,                 1.0127,                0.28707,                0.52258,                0.28359,                 0.2376,                0.68274,                 2.7017,                0.91646,             0.00020694,             0.00020694,             0.00020694
                      2,                0.79326,                 2.2619,                0.95636,                0.38453,                0.54916,                0.45793,                0.37005,                0.68735,                 2.1704,                0.91755,             0.00040842,             0.00040842,             0.00040842
                      3,                0.77991,                 1.9897,                0.95796,                0.45905,                0.63645,                0.56457,                0.46477,                0.67101,                 1.8802,                0.93355,             0.00060302,             0.00060302,             0.00060302
                      4,                0.75888,                 1.8125,                0.96173,                0.51677,                0.67412,                0.62131,                0.52515,                0.63176,                 1.7447,                0.91632,             0.00059406,             0.00059406,             0.00059406
                      5,                0.74198,                 1.6443,                0.95325,                0.48265,                0.61409,                0.62363,                0.52298,                 0.6455,                  1.694,                0.93043,             0.00058375,             0.00058375,             0.00058375
                      6,                0.73685,                 1.5525,                0.95659,                 0.4672,                0.65253,                0.60561,                 0.5153,                0.61316,                 1.7501,                0.91443,             0.00057344,             0.00057344,             0.00057344
                      7,                0.71064,                 1.4644,                0.94668,                0.56859,                0.77374,                0.69647,                 0.5948,                0.61045,                 1.3683,                0.90586,             0.00056313,             0.00056313,             0.00056313
                      8,                0.69207,                 1.4065,                0.94183,                0.57493,                0.68005,                0.68013,                0.58575,                0.59763,                 1.4291,                0.90754,             0.00055281,             0.00055281,             0.00055281
                      9,                0.68894,                 1.3368,                0.93897,                0.64623,                0.74381,                 0.7257,                0.62132,                0.59946,                 1.1753,                0.91042,              0.0005425,              0.0005425,              0.0005425
                     10,                0.67291,                 1.3069,                0.93899,                0.59556,                0.71347,                0.68363,                0.58962,                0.58817,                 1.3429,                0.91599,             0.00053219,             0.00053219,             0.00053219
                     11,                0.67268,                 1.2478,                0.93707,                0.62524,                0.70975,                0.70484,                0.60747,                0.59395,                 1.2437,                0.91748,             0.00052188,             0.00052188,             0.00052188
                     12,                0.66299,                  1.226,                0.93625,                0.63391,                0.72576,                 0.7064,                0.60332,                0.61504,                 1.1204,                0.93122,             0.00051156,             0.00051156,             0.00051156
                     13,                0.67483,                 1.2272,                0.94156,                0.63953,                 0.7704,                0.72295,                0.62685,                0.57125,                 1.1588,                0.90215,             0.00050125,             0.00050125,             0.00050125
                     14,                0.65956,                 1.1791,                0.92904,                0.59587,                 0.7166,                0.70185,                0.59812,                0.60699,                 1.2268,                0.92972,             0.00049094,             0.00049094,             0.00049094
                     15,                  0.659,                  1.148,                0.93944,                0.58952,                0.76211,                0.69378,                0.60346,                0.57297,                 1.2174,                0.90647,             0.00048062,             0.00048062,             0.00048062
                     16,                0.64644,                 1.1235,                0.92914,                 0.6421,                0.77502,                0.75324,                0.65785,                0.56832,                 1.0342,                0.90447,             0.00047031,             0.00047031,             0.00047031
                     17,                0.65233,                  1.087,                0.93295,                 0.6989,                 0.7649,                0.75461,                 0.6569,                0.55993,                 1.0255,                0.90101,                0.00046,                0.00046,                0.00046
                     18,                0.63032,                 1.0524,                0.92587,                0.65943,                0.79721,                0.76105,                0.66271,                0.55669,                0.96337,                0.90122,             0.00044969,             0.00044969,             0.00044969
                     19,                0.62957,                 1.0435,                0.92274,                0.69332,                0.77693,                0.76728,                0.66706,                0.56884,                0.96097,                0.90781,             0.00043937,             0.00043937,             0.00043937
                     20,                0.63911,                 1.0185,                0.92824,                0.69189,                0.76128,                0.76687,                 0.6676,                0.56288,                0.95968,                0.90334,             0.00042906,             0.00042906,             0.00042906
                     21,                0.62483,                 1.0075,                0.92454,                0.66241,                0.71762,                0.73231,                0.63402,                0.56242,                 1.0237,                0.90051,             0.00041875,             0.00041875,             0.00041875
                     22,                0.62029,                0.98564,                0.91897,                0.69034,                0.78284,                0.77708,                0.68127,                0.54872,                0.92494,                0.89866,             0.00040844,             0.00040844,             0.00040844
                     23,                0.62601,                0.94457,                0.92471,                0.68402,                0.76342,                0.75897,                0.66655,                0.54973,                0.93198,                0.90089,             0.00039813,             0.00039813,             0.00039813
                     24,                0.61529,                0.95388,                0.92339,                0.73958,                0.79477,                0.81502,                 0.7151,                0.53993,                0.83736,                0.89776,             0.00038781,             0.00038781,             0.00038781
                     25,                0.61307,                 0.9474,                 0.9208,                0.68512,                0.76541,                 0.7673,                0.67096,                0.54779,                0.96022,                0.89831,              0.0003775,              0.0003775,              0.0003775
                     26,                0.61681,                 0.9457,                0.92008,                0.72929,                0.78285,                0.80019,                0.70173,                0.54989,                0.87124,                 0.9008,             0.00036719,             0.00036719,             0.00036719
                     27,                0.61211,                0.90115,                0.91816,                0.74147,                0.76439,                0.80589,                0.70996,                 0.5336,                0.82434,                0.89421,             0.00035687,             0.00035687,             0.00035687
                     28,                0.59783,                0.90948,                0.91696,                0.70751,                0.80391,                0.80222,                 0.7054,                0.54158,                0.87774,                0.89747,             0.00034656,             0.00034656,             0.00034656
                     29,                0.60012,                0.91676,                0.91543,                0.73393,                0.75996,                0.80247,                0.70445,                0.53363,                0.85869,                0.89096,             0.00033625,             0.00033625,             0.00033625
                     30,                0.60026,                0.90224,                 0.9096,                0.72237,                0.81224,                0.82613,                0.72566,                0.53121,                 0.7958,                0.89026,             0.00032594,             0.00032594,             0.00032594
                     31,                0.59583,                 0.8504,                 0.9142,                0.74354,                0.77495,                 0.8018,                0.70411,                0.53426,                 0.8531,                0.89856,             0.00031562,             0.00031562,             0.00031562
                     32,                0.59941,                0.85815,                0.91668,                0.74058,                0.80729,                0.82348,                0.72583,                0.53932,                0.81034,                0.90065,             0.00030531,             0.00030531,             0.00030531
                     33,                0.59111,                0.85067,                0.92099,                0.71096,                 0.8012,                0.80799,                0.71236,                0.53851,                0.80581,                0.90321,               0.000295,               0.000295,               0.000295
                     34,                0.59507,                0.80912,                0.91451,                0.72616,                0.82845,                0.82428,                0.72608,                0.52788,                 0.7699,                0.89183,             0.00028469,             0.00028469,             0.00028469
                     35,                0.59242,                0.81104,                0.91658,                0.76881,                0.75551,                0.81366,                0.71899,                0.52505,                0.79693,                0.89406,             0.00027437,             0.00027437,             0.00027437
                     36,                0.57598,                0.80498,                 0.9127,                0.73913,                0.78631,                 0.8149,                0.72094,                0.52499,                0.80082,                0.89599,             0.00026406,             0.00026406,             0.00026406
                     37,                0.57701,                0.79457,                0.90725,                0.74176,                0.79522,                0.82068,                0.72101,                 0.5288,                0.79937,                0.89515,             0.00025375,             0.00025375,             0.00025375
                     38,                0.56915,                0.78257,                0.90578,                0.73224,                0.80203,                0.82023,                0.72446,                0.51973,                 0.7981,                0.88828,             0.00024344,             0.00024344,             0.00024344
                     39,                0.57899,                0.75978,                0.91305,                0.71475,                0.83217,                0.82423,                 0.7297,                0.51717,                 0.8102,                0.88451,             0.00023313,             0.00023313,             0.00023313
                     40,                0.57376,                0.77033,                0.90879,                0.73996,                0.82603,                0.83261,                0.73791,                0.52343,                0.76098,                0.88973,             0.00022281,             0.00022281,             0.00022281
                     41,                0.56955,                0.74003,                0.90628,                0.78259,                0.77514,                0.83762,                 0.7429,                0.51993,                0.74614,                0.88992,              0.0002125,              0.0002125,              0.0002125
                     42,                0.57618,                0.73842,                0.90889,                0.77438,                0.79522,                0.83846,                0.74644,                0.51128,                0.73712,                0.88377,             0.00020219,             0.00020219,             0.00020219
                     43,                0.55755,                0.73216,                0.90479,                0.74336,                0.79479,                0.81539,                0.72263,                0.51977,                0.80139,                0.88811,             0.00019188,             0.00019188,             0.00019188
                     44,                0.55411,                0.70983,                0.89968,                0.77094,                0.78717,                0.82256,                0.72571,                0.51964,                0.77427,                0.88779,             0.00018156,             0.00018156,             0.00018156
                     45,                0.55602,                0.70374,                0.90247,                0.75378,                0.81608,                  0.838,                0.74364,                0.51163,                0.72942,                0.88379,             0.00017125,             0.00017125,             0.00017125
                     46,                0.55736,                0.68935,                0.90722,                0.76335,                0.79492,                0.82753,                0.73273,                0.51473,                0.74265,                0.88319,             0.00016094,             0.00016094,             0.00016094
                     47,                0.55927,                0.70293,                0.90144,                0.76185,                 0.7888,                0.82813,                0.73183,                0.52178,                0.76822,                0.88935,             0.00015062,             0.00015062,             0.00015062
                     48,                0.55395,                0.66852,                0.89517,                0.73157,                0.82364,                0.82659,                0.73452,                0.51515,                 0.7561,                0.88317,             0.00014031,             0.00014031,             0.00014031
                     49,                0.54572,                0.66661,                0.89866,                0.76507,                0.79802,                0.82761,                0.73438,                0.51857,                0.75188,                0.88814,                0.00013,                0.00013,                0.00013
                     50,                0.54466,                 0.6415,                0.89585,                0.76112,                0.76888,                0.81365,                0.72343,                0.51366,                0.79371,                0.88535,             0.00011969,             0.00011969,             0.00011969
                     51,                0.47668,                0.55143,                0.85964,                0.78893,                0.78817,                0.83624,                0.74006,                0.52069,                0.74156,                0.88983,             0.00010937,             0.00010937,             0.00010937
                     52,                0.46848,                0.51953,                0.84802,                0.76533,                0.79096,                0.82532,                0.72972,                0.51752,                 0.7729,                0.88632,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     53,                0.46564,                 0.4988,                0.85248,                0.77912,                0.79067,                0.83323,                0.74029,                0.51252,                0.74101,                0.88437,              8.875e-05,              8.875e-05,              8.875e-05
                     54,                0.46577,                0.47454,                0.85461,                0.76272,                0.82042,                0.83814,                0.74793,                0.50252,                0.72533,                0.88014,             7.8438e-05,             7.8438e-05,             7.8438e-05
                     55,                0.45531,                0.46794,                 0.8455,                0.76996,                0.78802,                0.83279,                0.74322,                0.50625,                0.74663,                0.88448,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     56,                0.45711,                0.46471,                 0.8472,                0.75479,                0.82338,                0.83714,                0.74858,                 0.5028,                0.72796,                0.88197,             5.7813e-05,             5.7813e-05,             5.7813e-05
                     57,                0.45429,                0.44235,                0.84305,                0.76817,                0.81106,                0.84176,                0.75339,                0.50208,                0.72194,                0.88091,               4.75e-05,               4.75e-05,               4.75e-05
                     58,                0.44959,                0.43602,                0.84345,                0.78985,                0.78864,                0.84038,                0.75216,                0.50114,                0.73029,                0.88331,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     59,                0.44988,                0.42445,                0.84856,                0.75583,                0.82544,                0.84215,                0.75319,                0.49878,                0.72493,                0.88219,             2.6875e-05,             2.6875e-05,             2.6875e-05
                     60,                0.44742,                0.42549,                0.84182,                0.74673,                0.82828,                0.84288,                0.75307,                0.50285,                0.72481,                0.88299,             1.6563e-05,             1.6563e-05,             1.6563e-05
