                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6276,                 2.0382,                 1.4775,                0.68418,                0.40316,                0.48562,                0.23103,                  1.797,                 2.0805,                 1.6257,             0.00066296,             0.00066296,             0.00066296
                      2,                 1.6917,                 1.6975,                  1.516,                0.65976,                0.49407,                0.50262,                0.19778,                 1.8782,                 2.7828,                 1.7201,              0.0013077,              0.0013077,              0.0013077
                      3,                 1.7189,                 1.6676,                 1.5504,                0.27856,                0.32016,                0.24899,                0.11602,                 2.1107,                 2.7155,                 1.9799,              0.0019304,              0.0019304,              0.0019304
                      4,                 1.7048,                  1.608,                 1.5497,                 0.6994,                0.58396,                0.63001,                0.28305,                 1.7977,                 1.5075,                 1.5908,               0.001901,               0.001901,               0.001901
                      5,                 1.6544,                 1.5089,                 1.5022,                0.74971,                0.53162,                 0.6402,                0.30533,                 1.6997,                 1.3533,                 1.5134,               0.001868,               0.001868,               0.001868
                      6,                 1.6106,                  1.442,                 1.4765,                0.68196,                 0.6314,                0.66402,                0.32838,                 1.6609,                  1.355,                 1.5201,               0.001835,               0.001835,               0.001835
                      7,                 1.5896,                 1.3845,                 1.4451,                0.68613,                0.55534,                0.55633,                0.24634,                 1.6768,                 1.5736,                 1.5331,               0.001802,               0.001802,               0.001802
                      8,                 1.5352,                 1.2981,                 1.4278,                0.76925,                0.59091,                0.69333,                0.37053,                  1.605,                 1.1977,                 1.4793,               0.001769,               0.001769,               0.001769
                      9,                 1.5066,                 1.2641,                 1.4122,                0.82972,                0.62648,                0.72427,                0.38505,                 1.4841,                 1.1302,                  1.427,               0.001736,               0.001736,               0.001736
                     10,                 1.4752,                 1.2054,                 1.3717,                0.78902,                0.64822,                0.73713,                0.38681,                 1.5308,                 1.0914,                 1.4414,               0.001703,               0.001703,               0.001703
                     11,                  1.468,                 1.2065,                 1.3848,                0.78656,                 0.6773,                0.75642,                0.40672,                 1.4739,                 1.0572,                 1.3725,                0.00167,                0.00167,                0.00167
