                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3827,                 2.3566,                 1.3755,                0.26381,                0.28267,                0.19945,                0.11164,                 1.4649,                 2.2468,                 1.3879,             0.00033261,             0.00033261,             0.00033261
                      2,                 1.3965,                 1.8907,                 1.3885,                0.35807,                 0.2657,                0.26968,                0.16208,                 1.4812,                 1.8795,                 1.3901,             0.00065495,             0.00065495,             0.00065495
                      3,                 1.4103,                 1.8436,                  1.398,                0.30795,                0.28851,                0.25437,                0.15493,                 1.4262,                 2.0304,                 1.3715,              0.0009663,              0.0009663,              0.0009663
                      4,                  1.398,                 1.7771,                 1.3922,                0.40638,                0.30647,                0.29737,                0.18421,                 1.4511,                 1.7706,                 1.4031,              0.0009505,              0.0009505,              0.0009505
                      5,                 1.3751,                 1.6942,                 1.3761,                 0.4094,                0.32093,                0.32132,                0.19899,                 1.3926,                 1.6014,                 1.3648,               0.000934,               0.000934,               0.000934
                      6,                 1.3586,                  1.637,                 1.3653,                0.41411,                0.36119,                0.35964,                0.22839,                 1.3585,                    1.5,                 1.3397,              0.0009175,              0.0009175,              0.0009175
                      7,                 1.3353,                  1.594,                 1.3518,                0.38564,                0.31902,                0.32753,                0.20709,                 1.3581,                 1.6631,                 1.3259,               0.000901,               0.000901,               0.000901
                      8,                 1.3264,                 1.5511,                 1.3453,                0.44603,                0.36056,                0.37805,                0.24002,                 1.3702,                 1.4986,                 1.3122,              0.0008845,              0.0008845,              0.0008845
                      9,                 1.3259,                  1.519,                 1.3421,                0.40635,                0.36137,                0.33698,                0.21146,                 1.3469,                 1.6778,                 1.3083,               0.000868,               0.000868,               0.000868
                     10,                 1.2987,                 1.4931,                 1.3309,                0.46836,                0.35204,                 0.3758,                0.24354,                 1.3462,                 1.4878,                 1.3252,              0.0008515,              0.0008515,              0.0008515
                     11,                 1.2786,                 1.4345,                 1.3194,                0.47568,                0.36585,                 0.3907,                0.24989,                  1.315,                 1.3638,                 1.3017,               0.000835,               0.000835,               0.000835
                     12,                 1.3017,                  1.446,                   1.33,                0.51577,                0.35202,                0.39324,                0.25579,                  1.291,                 1.4151,                 1.2748,              0.0008185,              0.0008185,              0.0008185
                     13,                 1.2793,                 1.4022,                 1.3147,                0.50397,                 0.3835,                0.42236,                0.27263,                 1.3058,                 1.3174,                 1.2856,               0.000802,               0.000802,               0.000802
                     14,                 1.2834,                  1.399,                 1.3196,                  0.548,                0.36846,                0.42413,                0.27122,                 1.2981,                 1.3446,                 1.2791,              0.0007855,              0.0007855,              0.0007855
                     15,                 1.2638,                 1.3824,                 1.3043,                0.45113,                 0.3802,                0.38483,                0.25319,                 1.2854,                 1.3463,                 1.2607,               0.000769,               0.000769,               0.000769
                     16,                 1.2566,                 1.3386,                 1.3028,                0.47221,                0.37818,                0.40201,                0.25216,                 1.3306,                   1.42,                 1.2821,              0.0007525,              0.0007525,              0.0007525
                     17,                 1.2636,                 1.3298,                 1.2981,                0.51535,                0.38701,                0.42923,                 0.2833,                 1.2676,                 1.2251,                 1.2502,               0.000736,               0.000736,               0.000736
                     18,                 1.2411,                 1.3093,                 1.2872,                0.46854,                0.40289,                0.41569,                0.27094,                 1.2714,                 1.2813,                 1.2677,              0.0007195,              0.0007195,              0.0007195
                     19,                 1.2493,                 1.3018,                 1.2903,                0.51896,                 0.3759,                0.42425,                0.27374,                 1.2943,                 1.3209,                 1.2694,               0.000703,               0.000703,               0.000703
                     20,                 1.2349,                 1.2776,                 1.2847,                0.50544,                0.41635,                 0.4525,                0.29543,                 1.2344,                 1.2052,                 1.2352,              0.0006865,              0.0006865,              0.0006865
                     21,                  1.237,                 1.2741,                 1.2865,                0.54202,                0.40104,                0.46078,                0.30201,                 1.2656,                  1.184,                 1.2521,                0.00067,                0.00067,                0.00067
                     22,                 1.2288,                 1.2506,                 1.2796,                0.51847,                0.39981,                0.44649,                0.29418,                 1.2393,                 1.2456,                 1.2458,              0.0006535,              0.0006535,              0.0006535
