                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7844,                 3.9237,                 1.6668,                0.00331,                      1,                0.29708,                0.17052,                 1.0527,                 3.8412,                 1.2858,                0.00013,                0.00013,                0.00013
                      2,                  1.251,                  3.245,                  1.253,                0.00338,                      1,                0.34438,                0.26078,                0.83672,                 3.3013,                 0.8937,             0.00026618,             0.00026618,             0.00026618
                      3,                 1.0699,                  2.579,                 1.1501,                0.25943,                0.74457,                0.37472,                0.24955,                 1.0194,                  2.888,                0.94084,              0.0003984,              0.0003984,              0.0003984
                      4,                 1.1216,                 2.2723,                 1.1724,                 0.6724,                0.36641,                0.56468,                0.42202,                0.94751,                 2.6013,                0.93123,             0.00052666,             0.00052666,             0.00052666
                      5,                 1.0511,                 2.0249,                 1.1614,                0.52074,                0.61481,                0.63274,                0.45041,                 1.0892,                 2.2649,                 1.0048,             0.00065097,             0.00065097,             0.00065097
                      6,                 1.0574,                 1.8186,                 1.1522,                0.54659,                0.55787,                0.65448,                0.46353,                 1.0249,                 2.4232,                0.98173,             0.00077131,             0.00077131,             0.00077131
                      7,                 1.0453,                 1.7604,                 1.1233,                0.60327,                0.73325,                0.72658,                0.54599,                 1.0035,                 1.7978,                 1.0115,             0.00088769,             0.00088769,             0.00088769
                      8,                 1.1318,                 1.7276,                 1.2183,                0.73995,                0.72621,                0.85266,                 0.6263,                0.95778,                 1.8989,                 1.0214,               0.000901,               0.000901,               0.000901
                      9,                 1.0319,                 1.6845,                 1.1164,                0.81566,                0.85482,                0.92607,                0.67712,                0.98854,                 1.5823,                0.98977,             0.00088686,             0.00088686,             0.00088686
                     10,                 0.9874,                 1.5337,                 1.0945,                0.85474,                0.89247,                0.95279,                0.69044,                0.97973,                 1.8471,                 1.0111,             0.00087271,             0.00087271,             0.00087271
                     11,                 1.0398,                 1.4512,                 1.1069,                0.81094,                 0.8225,                0.92103,                 0.6743,                0.94032,                 1.7909,                 1.0118,             0.00085857,             0.00085857,             0.00085857
                     12,                0.93568,                 1.3923,                 1.1014,                0.84706,                0.91466,                0.97571,                0.68368,                 1.1054,                 1.6379,                  1.049,             0.00084443,             0.00084443,             0.00084443
                     13,                0.93803,                 1.3524,                 1.0696,                0.88012,                0.79882,                0.97121,                 0.7616,                0.90321,                 1.5614,                0.99384,             0.00083029,             0.00083029,             0.00083029
                     14,                0.99129,                 1.3341,                 1.0972,                0.88423,                0.93098,                  0.995,                0.77561,                0.87518,                 1.3273,                0.91898,             0.00081614,             0.00081614,             0.00081614
                     15,                0.91994,                  1.153,                 1.0568,                0.79332,                0.92018,                0.95391,                0.74447,                0.87534,                 1.3386,                0.95962,               0.000802,               0.000802,               0.000802
                     16,                0.94576,                  1.118,                 1.0682,                0.92487,                0.79656,                0.96313,                0.74144,                0.88361,                 1.3054,                0.97873,             0.00078786,             0.00078786,             0.00078786
                     17,                0.93918,                 1.1912,                 1.1031,                0.88588,                 0.9738,                0.98187,                0.76936,                0.91329,                 1.1917,                0.99438,             0.00077371,             0.00077371,             0.00077371
                     18,                0.91423,                 1.2146,                 1.0787,                0.91434,                0.89734,                0.99037,                0.74312,                0.87413,                 1.2701,                 1.0152,             0.00075957,             0.00075957,             0.00075957
                     19,                 0.9486,                 1.1357,                 1.0661,                0.95866,                 0.9921,                  0.995,                0.75817,                0.92125,                 1.0563,                 1.0428,             0.00074543,             0.00074543,             0.00074543
                     20,                0.89862,                 1.1113,                 1.0648,                0.98038,                      1,                  0.995,                0.77765,                0.89967,                0.93365,                 1.0334,             0.00073129,             0.00073129,             0.00073129
                     21,                0.86206,                 1.0304,                 1.0373,                0.84379,                0.82712,                0.94928,                0.68945,                0.99737,                  1.402,                 1.0792,             0.00071714,             0.00071714,             0.00071714
                     22,                0.98102,                 1.1842,                 1.1459,                0.94047,                0.98265,                0.99076,                 0.7922,                0.80305,                0.92804,                0.98032,               0.000703,               0.000703,               0.000703
                     23,                0.85797,                 1.0378,                 1.0433,                0.85027,                0.97234,                 0.9626,                0.75078,                 0.8914,                 1.0571,                 1.0242,             0.00068886,             0.00068886,             0.00068886
                     24,                0.90699,                 1.0948,                 1.0841,                0.80034,                0.87625,                0.89907,                0.67867,                0.93682,                 1.1403,                 1.0078,             0.00067471,             0.00067471,             0.00067471
                     25,                0.93067,                 1.0534,                 1.0747,                0.88343,                0.87609,                0.93647,                0.71058,                0.89983,                 1.1658,                 1.0208,             0.00066057,             0.00066057,             0.00066057
                     26,                0.96431,                 1.1012,                 1.1032,                0.87393,                0.93308,                0.98998,                0.77459,                 0.8678,                 1.1656,                0.98894,             0.00064643,             0.00064643,             0.00064643
                     27,                0.92205,                  1.025,                 1.0814,                0.79773,                0.91615,                0.98799,                0.77574,                0.87883,                  1.272,                   1.01,             0.00063229,             0.00063229,             0.00063229
                     28,                0.86683,                0.92922,                 1.0592,                0.96055,                 0.9848,                  0.995,                0.80098,                0.83235,                   0.95,                0.99048,             0.00061814,             0.00061814,             0.00061814
                     29,                0.82873,                0.88433,                 1.0304,                0.98549,                0.98984,                  0.995,                0.80085,                0.81706,                0.84062,                0.97138,               0.000604,               0.000604,               0.000604
                     30,                0.85062,                0.95215,                 1.0411,                0.98064,                0.98016,                  0.995,                0.77944,                0.86729,                0.82108,                 1.0033,             0.00058986,             0.00058986,             0.00058986
                     31,                0.85475,                0.90417,                 1.0432,                0.98856,                0.99163,                  0.995,                0.78154,                 0.8871,                0.80987,                 1.0044,             0.00057571,             0.00057571,             0.00057571
                     32,                0.79152,                0.82855,                 1.0194,                0.98777,                0.99472,                  0.995,                0.78217,                0.84937,                0.79224,                 1.0322,             0.00056157,             0.00056157,             0.00056157
                     33,                0.82116,                0.89624,                 1.0488,                0.95501,                0.98937,                  0.995,                0.80434,                0.76873,                0.81675,                 1.0079,             0.00054743,             0.00054743,             0.00054743
                     34,                0.82228,                0.89762,                 1.0475,                0.94294,                0.99076,                  0.995,                0.77928,                0.85053,                 0.8596,                 1.0109,             0.00053329,             0.00053329,             0.00053329
                     35,                0.81568,                0.85903,                 1.0339,                0.94219,                0.98956,                  0.995,                0.81444,                0.75195,                0.83981,                0.95622,             0.00051914,             0.00051914,             0.00051914
                     36,                0.90088,                0.95456,                  1.083,                0.87021,                      1,                  0.995,                0.79836,                0.78011,                0.88718,                0.95776,               0.000505,               0.000505,               0.000505
                     37,                0.75393,                 0.8059,                 1.0084,                0.94066,                0.99597,                  0.995,                0.80343,                0.77831,                0.77236,                0.95013,             0.00049086,             0.00049086,             0.00049086
                     38,                0.79028,                 0.7876,                  1.018,                0.97385,                0.98791,                  0.995,                0.80164,                0.75691,                0.75683,                0.95603,             0.00047671,             0.00047671,             0.00047671
                     39,                0.83071,                0.90067,                 1.0308,                0.94208,                0.96005,                0.98426,                0.80143,                0.75333,                0.86457,                0.93706,             0.00046257,             0.00046257,             0.00046257
                     40,                0.79318,                0.84888,                 1.0211,                0.98226,                0.97364,                  0.995,                0.81228,                0.77447,                0.75578,                 0.9665,             0.00044843,             0.00044843,             0.00044843
                     41,                0.77403,                0.78896,                 1.0024,                0.98139,                      1,                  0.995,                0.80476,                0.76961,                0.75105,                0.98987,             0.00043429,             0.00043429,             0.00043429
                     42,                 0.7859,                0.76984,                 1.0218,                 0.9806,                      1,                  0.995,                0.82876,                 0.7437,                0.71327,                0.99461,             0.00042014,             0.00042014,             0.00042014
                     43,                0.79357,                0.83454,                 1.0206,                0.97768,                0.97911,                  0.995,                 0.8124,                0.78809,                0.73065,                 1.0011,               0.000406,               0.000406,               0.000406
                     44,                0.77116,                0.76789,                 1.0455,                0.94784,                0.95226,                  0.995,                 0.8115,                0.78044,                0.74148,                0.95566,             0.00039186,             0.00039186,             0.00039186
                     45,                0.77554,                0.76393,                 1.0096,                 0.9694,                0.98874,                  0.995,                0.81994,                 0.7795,                0.67704,                 0.9672,             0.00037771,             0.00037771,             0.00037771
                     46,                 0.7526,                0.72362,                 1.0054,                0.98623,                0.99535,                  0.995,                0.81925,                0.75799,                0.65381,                0.97003,             0.00036357,             0.00036357,             0.00036357
                     47,                0.76766,                 0.7114,                 1.0094,                0.97943,                0.99202,                  0.995,                0.82059,                0.75729,                0.65565,                0.96513,             0.00034943,             0.00034943,             0.00034943
                     48,                0.80219,                0.78299,                 1.0505,                0.97099,                0.97672,                  0.995,                0.79333,                0.82058,                0.70199,                 1.0005,             0.00033529,             0.00033529,             0.00033529
                     49,                0.74574,                0.68082,                 1.0088,                0.96914,                0.98933,                  0.995,                0.82025,                 0.7796,                0.69272,                0.96898,             0.00032114,             0.00032114,             0.00032114
                     50,                0.76189,                0.78085,                 1.0136,                0.97134,                0.98953,                  0.995,                0.80826,                0.79364,                0.67788,                0.97897,               0.000307,               0.000307,               0.000307
                     51,                0.76037,                0.75432,                  1.006,                0.98696,                 0.9942,                  0.995,                0.80781,                0.78474,                0.64853,                 1.0075,             0.00029286,             0.00029286,             0.00029286
                     52,                 0.7432,                0.66948,                 1.0039,                0.98281,                0.99791,                  0.995,                0.82355,                0.74358,                0.63754,                0.97189,             0.00027871,             0.00027871,             0.00027871
                     53,                0.73379,                0.67257,                 1.0106,                0.98571,                0.99184,                  0.995,                0.82848,                0.73433,                 0.6484,                0.95608,             0.00026457,             0.00026457,             0.00026457
                     54,                 0.7457,                0.67719,                0.99875,                0.94302,                0.97728,                0.98886,                0.80874,                0.74198,                0.68334,                0.97621,             0.00025043,             0.00025043,             0.00025043
                     55,                 0.7245,                0.67951,                 1.0028,                0.90406,                0.97679,                 0.9736,                0.79841,                0.74611,                0.74915,                 0.9702,             0.00023629,             0.00023629,             0.00023629
                     56,                0.72082,                0.68548,                0.99704,                0.93454,                0.97455,                 0.9736,                0.80197,                0.72787,                0.72102,                0.96013,             0.00022214,             0.00022214,             0.00022214
                     57,                0.72104,                0.66961,                0.98663,                0.95152,                0.97697,                0.99348,                0.82646,                0.75362,                0.66167,                0.96487,               0.000208,               0.000208,               0.000208
                     58,                0.68407,                0.61439,                0.97231,                0.98204,                0.98873,                  0.995,                0.82168,                0.71942,                0.62253,                0.96317,             0.00019386,             0.00019386,             0.00019386
                     59,                0.70652,                0.66231,                0.99544,                0.97485,                0.98875,                  0.995,                0.81889,                0.72382,                0.63051,                0.96676,             0.00017971,             0.00017971,             0.00017971
                     60,                0.66567,                0.59006,                 0.9654,                0.97925,                0.98859,                  0.995,                0.82946,                0.71322,                0.62959,                0.95898,             0.00016557,             0.00016557,             0.00016557
                     61,                0.63793,                 0.5855,                0.92423,                0.97961,                0.98918,                  0.995,                0.83274,                0.70885,                0.63458,                0.95336,             0.00015143,             0.00015143,             0.00015143
                     62,                0.63991,                0.57733,                 0.9195,                0.98882,                0.98914,                  0.995,                0.83247,                0.71794,                0.62151,                0.96189,             0.00013729,             0.00013729,             0.00013729
                     63,                0.64423,                0.57547,                0.91765,                0.98396,                0.98895,                  0.995,                0.83497,                0.71112,                0.60263,                0.98126,             0.00012314,             0.00012314,             0.00012314
                     64,                0.63207,                0.55626,                0.93385,                0.97382,                0.98879,                  0.995,                0.83304,                0.71183,                0.60221,                0.97839,               0.000109,               0.000109,               0.000109
                     65,                0.61721,                0.56609,                0.90834,                0.98354,                0.98903,                  0.995,                0.83308,                0.71827,                0.60681,                0.98142,             9.4857e-05,             9.4857e-05,             9.4857e-05
                     66,                0.63335,                0.54393,                0.91541,                0.98819,                0.98859,                  0.995,                0.82133,                0.74544,                0.61133,                0.99431,             8.0714e-05,             8.0714e-05,             8.0714e-05
                     67,                0.61111,                0.54714,                0.91968,                0.98891,                0.98961,                  0.995,                0.81122,                0.74273,                0.59764,                0.99931,             6.6571e-05,             6.6571e-05,             6.6571e-05
                     68,                0.61499,                0.53093,                0.91918,                0.98863,                0.98889,                  0.995,                0.83041,                0.71757,                0.58923,                0.98212,             5.2429e-05,             5.2429e-05,             5.2429e-05
                     69,                0.62095,                0.53616,                0.91295,                0.98787,                0.98842,                  0.995,                0.82389,                 0.7195,                0.58807,                0.97776,             3.8286e-05,             3.8286e-05,             3.8286e-05
                     70,                0.61373,                0.60559,                0.91582,                0.98438,                0.98887,                  0.995,                0.82438,                0.72331,                0.58755,                0.97707,             2.4143e-05,             2.4143e-05,             2.4143e-05
