                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3248,                 2.4656,                 1.3625,                0.42373,                0.37053,                0.40454,                0.23683,                 1.4554,                 2.9295,                 1.5095,             0.00047132,             0.00047132,             0.00047132
                      2,                 1.3089,                 1.9971,                 1.3338,                0.36641,                0.50016,                 0.4021,                0.22124,                 1.6512,                 2.7563,                 1.8268,             0.00093202,             0.00093202,             0.00093202
                      3,                 1.2961,                 1.9012,                 1.3342,                0.49459,                0.25838,                0.30945,                0.17199,                 1.6057,                 2.8492,                 1.7346,               0.001377,               0.001377,               0.001377
                      4,                 1.2761,                 1.6855,                 1.3216,                0.59998,                 0.5287,                 0.4698,                0.24848,                 1.7621,                 2.1269,                  1.939,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.2247,                 1.5406,                 1.2959,                 0.5982,                0.46409,                0.45273,                0.24549,                 1.5863,                 2.0144,                 1.6184,              0.0013347,              0.0013347,              0.0013347
                      6,                 1.1786,                 1.4069,                  1.262,                0.69658,                0.38816,                0.41474,                0.24476,                 1.5169,                 2.4661,                 1.6551,              0.0013111,              0.0013111,              0.0013111
                      7,                 1.1275,                 1.3712,                 1.2352,                0.58873,                0.49903,                0.54842,                0.31162,                 1.4362,                 1.7071,                 1.5265,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.1006,                 1.2724,                 1.2267,                  0.682,                 0.5465,                0.60863,                 0.3333,                 1.4735,                 1.3395,                 1.5462,               0.001264,               0.001264,               0.001264
                      9,                 1.0909,                 1.2719,                 1.2219,                0.67751,                0.62542,                0.59597,                0.34651,                 1.5133,                 1.4819,                 1.5749,              0.0012404,              0.0012404,              0.0012404
                     10,                 1.0725,                 1.2045,                 1.2024,                0.67959,                0.48026,                0.53514,                0.32941,                 1.4873,                 1.5641,                 1.5777,              0.0012168,              0.0012168,              0.0012168
                     11,                 1.0152,                 1.1495,                 1.1715,                0.67154,                0.50789,                0.53702,                0.32076,                 1.5552,                 1.7622,                 1.8661,              0.0011932,              0.0011932,              0.0011932
                     12,                 1.0044,                  1.139,                 1.1692,                0.63563,                 0.5065,                 0.5859,                0.32938,                 1.4263,                 1.4153,                 1.4953,              0.0011696,              0.0011696,              0.0011696
                     13,                0.95278,                 1.0717,                 1.1407,                0.62086,                0.58599,                0.59672,                0.36208,                 1.5587,                 1.6179,                 1.6216,              0.0011461,              0.0011461,              0.0011461
                     14,                  0.969,                 1.0242,                 1.1572,                0.61379,                0.58147,                0.61363,                0.38017,                 1.4749,                 1.3449,                 1.5446,              0.0011225,              0.0011225,              0.0011225
                     15,                0.91811,                0.99597,                 1.1147,                0.69523,                 0.6661,                0.67534,                 0.3903,                 1.5729,                 1.3527,                 1.6154,              0.0010989,              0.0010989,              0.0010989
                     16,                0.88374,                0.92886,                 1.0999,                0.59237,                0.60402,                0.60067,                0.35098,                 1.5394,                 1.4553,                 1.6273,              0.0010753,              0.0010753,              0.0010753
                     17,                0.88803,                0.98324,                 1.0992,                0.61091,                0.64818,                 0.6384,                0.38546,                  1.503,                 1.2981,                 1.5396,              0.0010517,              0.0010517,              0.0010517
                     18,                0.86713,                0.93686,                 1.0878,                0.78325,                0.59453,                0.66907,                0.40739,                 1.4674,                 1.2202,                 1.4637,              0.0010282,              0.0010282,              0.0010282
                     19,                 0.8416,                 0.9079,                 1.0727,                0.65463,                0.64032,                0.64624,                0.37803,                 1.3744,                  1.265,                 1.4728,              0.0010046,              0.0010046,              0.0010046
                     20,                0.86111,                0.90156,                  1.089,                0.67829,                0.56429,                0.62579,                0.37827,                 1.4956,                 1.2552,                 1.5444,             0.00098101,             0.00098101,             0.00098101
                     21,                0.82996,                 0.8639,                 1.0748,                0.66266,                0.64219,                0.64049,                0.37428,                 1.5106,                 1.1791,                 1.5228,             0.00095743,             0.00095743,             0.00095743
                     22,                0.81256,                0.86593,                 1.0647,                0.75439,                 0.5659,                0.65023,                0.38826,                 1.4464,                 1.1597,                 1.4771,             0.00093385,             0.00093385,             0.00093385
                     23,                0.80139,                0.83681,                 1.0532,                0.58434,                0.70155,                0.65684,                0.38566,                 1.5811,                 1.1331,                 1.5994,             0.00091027,             0.00091027,             0.00091027
                     24,                0.77322,                0.81945,                 1.0483,                 0.6663,                0.70297,                0.67259,                 0.4111,                 1.4078,                 1.2378,                 1.4858,             0.00088669,             0.00088669,             0.00088669
                     25,                0.76205,                0.80695,                 1.0341,                0.77906,                 0.5686,                0.61819,                0.37202,                 1.5542,                 1.2751,                 1.6356,             0.00086312,             0.00086312,             0.00086312
