                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9434,                 2.9078,                 1.2263,                0.04389,                0.55465,                0.16203,                0.07359,                 2.0559,                 3.2739,                 1.2472,             0.00040008,             0.00040008,             0.00040008
                      2,                 1.7991,                 1.6518,                 1.1386,                0.52906,                0.26198,                0.34991,                0.13495,                  2.117,                 2.6762,                 1.2547,             0.00080335,             0.00080335,             0.00080335
                      3,                 1.7684,                 1.4324,                  1.118,                0.30899,                0.53062,                0.30212,                0.12717,                 2.0289,                  2.357,                 1.2446,              0.0011929,              0.0011929,              0.0011929
                      4,                 1.7201,                 1.3487,                 1.1396,                0.58505,                0.53845,                0.55068,                 0.2539,                 2.0542,                 1.6822,                 1.2891,              0.0015686,              0.0015686,              0.0015686
                      5,                 1.7364,                 1.3409,                 1.1279,                0.51173,                0.63418,                0.51888,                 0.2133,                 1.9904,                 1.6389,                 1.1997,               0.001557,               0.001557,               0.001557
                      6,                 1.7032,                  1.213,                 1.1107,                0.32063,                 0.6226,                0.36776,                0.16042,                 1.9004,                 2.2231,                 1.1723,              0.0015295,              0.0015295,              0.0015295
                      7,                 1.6711,                 1.2173,                 1.1166,                0.49702,                0.57741,                 0.4522,                0.19568,                 1.9152,                 1.5347,                  1.171,               0.001502,               0.001502,               0.001502
                      8,                 1.6747,                 1.2007,                 1.0948,                0.39959,                0.58678,                0.35992,                0.16298,                 1.8775,                 1.7432,                  1.143,              0.0014745,              0.0014745,              0.0014745
                      9,                 1.6359,                 1.1742,                 1.0926,                0.57819,                0.62205,                0.55857,                0.25476,                 1.9011,                 1.4002,                 1.1694,               0.001447,               0.001447,               0.001447
                     10,                 1.6356,                 1.1244,                 1.0736,                0.62534,                0.63049,                0.61448,                0.29068,                 1.9215,                 1.4118,                 1.1769,              0.0014195,              0.0014195,              0.0014195
                     11,                 1.5878,                 1.0534,                 1.0863,                0.52625,                 0.6698,                0.50508,                 0.2299,                 1.8704,                 1.5142,                 1.1435,              0.0013919,              0.0013919,              0.0013919
                     12,                 1.6249,                 1.0559,                 1.0808,                0.56479,                0.61167,                0.54827,                0.24816,                 1.9265,                 1.5434,                 1.1832,              0.0013644,              0.0013644,              0.0013644
                     13,                  1.618,                  1.078,                 1.0869,                0.71043,                0.69622,                0.72423,                0.34119,                 1.8564,                 1.3254,                 1.1435,              0.0013369,              0.0013369,              0.0013369
                     14,                 1.6251,                 1.0528,                 1.0807,                 0.5853,                0.66775,                0.62269,                 0.2891,                 1.8808,                 1.3014,                  1.162,              0.0013094,              0.0013094,              0.0013094
                     15,                 1.6185,                 1.0539,                 1.0675,                0.59723,                0.68118,                0.60555,                0.28167,                 1.8956,                 1.3048,                 1.1383,              0.0012819,              0.0012819,              0.0012819
                     16,                 1.6191,                 1.0711,                 1.0928,                0.58666,                 0.6503,                0.62495,                0.29317,                 1.8617,                 1.3394,                 1.1399,              0.0012544,              0.0012544,              0.0012544
                     17,                 1.5947,                0.99268,                 1.0789,                0.65182,                0.65919,                0.61356,                0.29026,                 1.8666,                 1.3592,                 1.1485,              0.0012269,              0.0012269,              0.0012269
                     18,                 1.5952,                 1.0152,                  1.077,                0.52111,                0.65302,                0.51716,                0.23834,                 1.9009,                 1.6058,                 1.1579,              0.0011994,              0.0011994,              0.0011994
                     19,                 1.5758,                 1.0221,                 1.0676,                 0.6504,                0.71237,                0.68854,                0.32076,                 1.8715,                 1.2718,                 1.1532,              0.0011719,              0.0011719,              0.0011719
                     20,                 1.5815,                 1.0019,                 1.0598,                0.65356,                0.64478,                0.65125,                0.31604,                 1.8643,                 1.3022,                 1.1502,              0.0011444,              0.0011444,              0.0011444
                     21,                  1.583,                 1.0021,                 1.0635,                0.65171,                 0.6511,                0.66588,                0.31721,                 1.8518,                 1.2461,                  1.149,              0.0011169,              0.0011169,              0.0011169
                     22,                 1.5405,                0.93401,                 1.0589,                0.68234,                0.71207,                0.72458,                0.34702,                 1.8412,                 1.1734,                 1.1281,              0.0010894,              0.0010894,              0.0010894
                     23,                 1.5577,                0.94674,                 1.0457,                 0.6392,                0.68494,                0.64406,                0.31121,                 1.8556,                 1.2743,                 1.1311,              0.0010619,              0.0010619,              0.0010619
                     24,                 1.5283,                0.90996,                 1.0522,                0.51382,                0.68107,                0.51669,                0.23652,                 1.8649,                 1.5438,                 1.1504,              0.0010344,              0.0010344,              0.0010344
                     25,                 1.5382,                0.90311,                 1.0453,                 0.6216,                0.68325,                 0.6367,                0.29533,                 1.8731,                 1.2877,                 1.1443,              0.0010069,              0.0010069,              0.0010069
                     26,                 1.5448,                0.91974,                 1.0518,                0.62484,                0.67787,                 0.6764,                0.32535,                 1.8899,                 1.2094,                 1.1566,             0.00097936,             0.00097936,             0.00097936
                     27,                 1.5402,                0.87551,                 1.0467,                0.55881,                  0.661,                0.55859,                 0.2704,                 1.8576,                  1.487,                 1.1421,             0.00095186,             0.00095186,             0.00095186
                     28,                 1.4954,                0.86349,                 1.0437,                0.56814,                0.70687,                0.58511,                  0.275,                 1.8717,                 1.3768,                  1.142,             0.00092435,             0.00092435,             0.00092435
                     29,                 1.5131,                0.86164,                 1.0416,                0.63877,                0.67428,                0.67382,                0.32412,                 1.8338,                   1.25,                 1.1239,             0.00089685,             0.00089685,             0.00089685
                     30,                 1.5161,                0.88222,                 1.0475,                0.62501,                0.68982,                0.61917,                0.29844,                 1.8512,                   1.21,                 1.1414,             0.00086934,             0.00086934,             0.00086934
                     31,                 1.5191,                0.86544,                 1.0318,                0.62491,                0.69533,                0.64862,                0.31929,                 1.8651,                 1.2275,                 1.1436,             0.00084184,             0.00084184,             0.00084184
                     32,                 1.5187,                0.86112,                 1.0467,                0.62397,                0.68282,                 0.6458,                0.31574,                 1.8592,                 1.2654,                  1.151,             0.00081433,             0.00081433,             0.00081433
                     33,                 1.5043,                0.84095,                 1.0258,                0.61309,                0.69593,                0.61557,                0.29699,                 1.8554,                 1.3418,                 1.1495,             0.00078682,             0.00078682,             0.00078682
                     34,                  1.491,                0.83215,                 1.0295,                0.62579,                0.62054,                0.64541,                0.31581,                 1.8307,                 1.2318,                 1.1444,             0.00075932,             0.00075932,             0.00075932
                     35,                 1.4922,                0.85388,                 1.0354,                 0.5472,                0.67824,                0.57076,                0.27399,                 1.8612,                 1.4142,                 1.1597,             0.00073181,             0.00073181,             0.00073181
                     36,                 1.4929,                0.84084,                 1.0356,                0.63082,                0.69827,                0.65657,                0.32271,                 1.8395,                 1.2142,                 1.1415,             0.00070431,             0.00070431,             0.00070431
                     37,                 1.4636,                 0.8161,                  1.028,                0.63002,                0.66764,                 0.6265,                0.30906,                 1.8242,                 1.2888,                 1.1311,              0.0006768,              0.0006768,              0.0006768
                     38,                 1.4894,                0.80412,                 1.0337,                0.61996,                0.65561,                0.65235,                 0.3091,                 1.8942,                 1.2235,                 1.1583,              0.0006493,              0.0006493,              0.0006493
                     39,                 1.4665,                0.80651,                 1.0277,                0.60226,                0.69253,                0.62969,                0.31433,                 1.8441,                 1.2771,                 1.1408,             0.00062179,             0.00062179,             0.00062179
                     40,                 1.4594,                0.80442,                 1.0379,                0.68644,                0.69528,                0.69563,                0.34149,                 1.8548,                 1.2007,                 1.1456,             0.00059429,             0.00059429,             0.00059429
                     41,                 1.4698,                 0.8052,                 1.0265,                0.69291,                0.70058,                0.72557,                0.35436,                  1.855,                 1.1561,                  1.145,             0.00056678,             0.00056678,             0.00056678
                     42,                 1.4413,                0.77908,                 1.0263,                0.65984,                0.68762,                0.67309,                0.32849,                 1.8696,                 1.2156,                 1.1529,             0.00053927,             0.00053927,             0.00053927
                     43,                 1.4502,                0.77569,                 1.0164,                0.64332,                0.67612,                0.62977,                0.30286,                 1.8815,                 1.2615,                 1.1602,             0.00051177,             0.00051177,             0.00051177
                     44,                 1.4662,                0.78607,                 1.0212,                0.67286,                0.68715,                 0.6615,                0.32116,                  1.879,                 1.2288,                 1.1606,             0.00048426,             0.00048426,             0.00048426
                     45,                 1.4716,                0.77912,                  1.028,                0.64057,                0.70997,                0.66835,                0.33243,                 1.8761,                 1.2178,                 1.1612,             0.00045676,             0.00045676,             0.00045676
                     46,                 1.4263,                0.75675,                 1.0291,                 0.6379,                0.69636,                0.66026,                 0.3263,                 1.8752,                 1.2165,                 1.1652,             0.00042925,             0.00042925,             0.00042925
                     47,                 1.4297,                0.74837,                 1.0167,                0.63166,                0.67261,                0.62234,                0.30588,                 1.8605,                 1.2905,                 1.1516,             0.00040175,             0.00040175,             0.00040175
                     48,                 1.4084,                0.73666,                 1.0097,                0.66655,                0.67417,                0.66426,                0.32287,                 1.8531,                 1.2046,                 1.1529,             0.00037424,             0.00037424,             0.00037424
                     49,                 1.3649,                0.71813,                 0.9988,                0.62718,                0.66546,                0.62026,                0.30175,                 1.8544,                 1.3094,                 1.1534,             0.00034674,             0.00034674,             0.00034674
                     50,                 1.4122,                0.73749,                 1.0126,                 0.5587,                0.70215,                0.57468,                0.27823,                 1.8778,                 1.3569,                 1.1596,             0.00031923,             0.00031923,             0.00031923
                     51,                 1.4209,                0.75027,                 1.0329,                 0.6139,                0.69152,                0.62523,                0.30417,                 1.8723,                   1.25,                 1.1627,             0.00029172,             0.00029172,             0.00029172
                     52,                 1.3932,                0.72283,                 1.0296,                0.63486,                0.67285,                0.65121,                0.31972,                 1.8585,                 1.2309,                 1.1544,             0.00026422,             0.00026422,             0.00026422
                     53,                 1.4014,                0.72403,                 1.0307,                0.63138,                0.69234,                0.63923,                0.31719,                 1.8538,                 1.2518,                 1.1465,             0.00023671,             0.00023671,             0.00023671
                     54,                 1.4007,                0.71926,                 1.0279,                0.67513,                0.70822,                0.69099,                 0.3399,                 1.8643,                 1.1834,                 1.1545,             0.00020921,             0.00020921,             0.00020921
                     55,                 1.3612,                0.71026,                 1.0152,                0.67732,                0.68818,                0.69731,                0.34233,                 1.8557,                 1.1861,                 1.1483,              0.0001817,              0.0001817,              0.0001817
                     56,                 1.3579,                0.70988,                  1.005,                0.68148,                0.68911,                0.69869,                0.34106,                 1.8651,                 1.2004,                 1.1584,              0.0001542,              0.0001542,              0.0001542
                     57,                 1.3659,                0.71158,                 1.0124,                0.62314,                0.69819,                0.64334,                0.31428,                 1.8645,                 1.2711,                 1.1567,             0.00012669,             0.00012669,             0.00012669
                     58,                  1.374,                0.69823,                 1.0131,                0.64159,                0.68643,                0.65575,                0.31788,                 1.8765,                  1.266,                 1.1628,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                 1.3715,                0.69895,                 1.0206,                 0.6624,                0.68119,                0.66951,                0.32568,                 1.8628,                 1.2396,                  1.159,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                  1.357,                0.68504,                  1.019,                0.65717,                0.69992,                0.66661,                0.32259,                 1.8669,                 1.2432,                 1.1611,             4.4176e-05,             4.4176e-05,             4.4176e-05
